Запрос,Частота (точная),Частота (базовая),Регион,Интент,Страница/группа,Кластер,Источник,Приоритет,Тип хвоста,Конкуренция,SERP-пометки,Контент/UX задачи,Статус,Комментарии
газобетон,,65848,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
бонолит,,8939,moscow,брендовый,/moscow/catalog/bonolit,бренд: Bonolit,Wordstat,1,вопрос,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
одноэтажный из газобетона,,4238,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон ключ,,4159,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон цена,,3255,moscow,коммерческий,/moscow/catalog,цены,"Webmaster, Wordstat",1,основной,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=1244.0; clicks=833.0
газобетон блок,,3211,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
блоки бонолит,,2784,moscow,брендовый,/moscow/catalog/bonolit,бренд: Bonolit,Wordstat,1,вопрос,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
стена из газобетона,,2743,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
какой газобетон,,2601,moscow,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько газобетона,,2551,moscow,информационный,/moscow/calculator,общий спрос,Wordstat,1,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,
купить газобетон,,2288,moscow,коммерческий,/moscow/catalog,покупка,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
построил из газобетона,,1812,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
московский газобетон,,1441,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
бонолит официальный,,1329,moscow,брендовый,/moscow/catalog/bonolit,бренд: Bonolit,Wordstat,1,вопрос,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
газобетон московская область,,1319,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
бонолит сайт,,1302,moscow,брендовый,/moscow/catalog/bonolit,бренд: Bonolit,Wordstat,1,вопрос,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
бонолит официальный сайт,,1273,moscow,брендовый,/moscow/catalog/bonolit,бренд: Bonolit,Wordstat,1,вопрос,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
стоит газобетон,,1167,moscow,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
толщина газобетона,,1111,moscow,информационный,/construction,характеристики,Wordstat,1,основной,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
отделка газобетона,,1100,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
фундамент для газобетона,,1099,moscow,коммерческий,/moscow/catalog,фундамент,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько стоит газобетон,,1096,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
м из газобетона,,1056,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
1 газобетон,,1024,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон 100,,1002,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
нужен газобетон,,962,moscow,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон кв м,,934,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
баня из газобетона,,921,moscow,коммерческий,/moscow/catalog,проекты зданий,Wordstat,1,длинный,,,Сделать подборку проектов и расчеты материалов,к проработке,
стоимость газобетона,,919,moscow,коммерческий,/moscow/catalog,цены,Wordstat,1,основной,,,Актуализировать блок цен и условия покупки,к проработке,
купить бонолит,,908,moscow,брендовый,/moscow/catalog/bonolit,бренд: Bonolit,Wordstat,1,вопрос,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
газобетон своими руками,,837,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
гараж из газобетона,,800,moscow,коммерческий,/moscow/catalog,проекты зданий,Wordstat,1,длинный,,,Сделать подборку проектов и расчеты материалов,к проработке,
газобетон размеры,,799,moscow,коммерческий,/moscow/catalog,характеристики,Wordstat,1,основной,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
газобетон снаружи,,776,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
чем хорош газобетон,,770,moscow,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
куб газобетона,,758,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
кубе газобетон,,755,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон крыша,,752,moscow,коммерческий,/moscow/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
бонолит цена,,745,moscow,брендовый,/moscow/catalog/bonolit,бренд: Bonolit,Wordstat,1,вопрос,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
исткульт,,744,moscow,информационный,/construction,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок бонолит,,722,moscow,брендовый,/moscow/catalog/bonolit,бренд: Bonolit,Wordstat,1,вопрос,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
калькулятор газобетона,,701,moscow,информационный,/moscow/calculator,калькулятор,Wordstat,1,основной,,,Дополнить калькулятор пояснениями и CTA,к проработке,
