Запрос,Частота (точная),Частота (базовая),Регион,Интент,Страница/группа,Кластер,Источник,Приоритет,Тип хвоста,Конкуренция,SERP-пометки,Контент/UX задачи,Статус,Комментарии
газобетон,,6771,samara,коммерческий,/samara/catalog,общий спрос,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=460.0; clicks=200.0
газоблок,,6186,samara,информационный,/construction,общий спрос,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=507.0; clicks=199.0
газобетонные блоки,,1785,samara,коммерческий,/samara/catalog,общий спрос,"Webmaster, Wordstat",1,основной,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=393.0; clicks=168.0
сколько газоблок,,736,samara,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон самара,,613,samara,коммерческий,/samara/catalog,общий спрос,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=457.0; clicks=236.0
газоблок самара,,552,samara,коммерческий,/samara/catalog,общий спрос,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=288.0; clicks=152.0
газоблок цена,,493,samara,коммерческий,/samara/catalog,цены,"Webmaster, Wordstat",1,основной,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=117.0; clicks=35.0
газобетон блок,,474,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
купить газоблок,,455,samara,коммерческий,/samara/catalog,покупка,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=309.0; clicks=152.0
одноэтажный из газобетона,,451,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
