Запрос,Частота (точная),Частота (базовая),Регион,Интент,Страница/группа,Кластер,Источник,Приоритет,Тип хвоста,Конкуренция,SERP-пометки,Контент/UX задачи,Статус,Комментарии
газобетон,,41131,spb,коммерческий,/spb/catalog,общий спрос,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=2018.0; clicks=1299.0
газобетонные блоки,,4698,spb,коммерческий,/spb/catalog,общий спрос,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=715.0; clicks=503.0; demand=715.0; clicks=503.0
газобетон спб,,3763,spb,брендовый,/spb/catalog/,бренд: СПб,Wordstat,1,основной,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
купить газобетон,,2845,spb,коммерческий,/spb/catalog,покупка,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=816.0; clicks=379.0
газобетон купить в спб,,2621.0,spb,коммерческий,/spb/catalog,покупка,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=2621.0; clicks=1365.0; demand=2621.0; clicks=1365.0
газобетон цена,,2019,spb,коммерческий,/spb/catalog,цены,Wordstat,1,основной,,,Актуализировать блок цен и условия покупки,к проработке,
газобетон ключ,,1841,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько газобетона,,1771,spb,информационный,/spb/calculator,общий спрос,Wordstat,1,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,
какой газобетон,,1560,spb,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
стена из газобетона,,1535,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
одноэтажный из газобетона,,1493,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон лср купить,,1410.0,spb,брендовый,/spb/catalog/lsr,бренд: LSR,"Webmaster, Wordstat",1,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=1410.0; clicks=1299.0
лср газобетон купить,,1298.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=1298.0; clicks=1264.0
газобетон блок,,1225,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
лср газобетон,,1190,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон купить в спб gazobeton-spb,,1143.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=1143.0; clicks=1203.0
газобетон купить,,1000.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=1000.0; clicks=474.0
газобетонные блоки купить в спб,,906.0,spb,коммерческий,/spb/catalog,покупка,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=906.0; clicks=470.0; demand=906.0; clicks=470.0
газобетонные блоки купить,,826.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=826.0; clicks=437.0; demand=826.0; clicks=437.0
куб газобетона,,766,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
кубе газобетон,,766,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
стоимость газобетона,,729,spb,коммерческий,/spb/catalog,цены,Wordstat,1,основной,,,Актуализировать блок цен и условия покупки,к проработке,
газобетонные блоки цена,,724.0,spb,коммерческий,/spb/catalog,цены,"Webmaster, Wordstat",1,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=724.0; clicks=316.0
купить газобетон в спб от производителя дешево,,716.0,spb,коммерческий,/spb/catalog,покупка,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=716.0; clicks=695.0
газобетонные блоки лср купить в спб,,697.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=697.0; clicks=615.0; demand=697.0; clicks=615.0; demand=697.0; clicks=615.0
купить газобетонные блоки,,697.0,spb,коммерческий,/spb/catalog,покупка,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=697.0; clicks=374.0
нужен газобетон,,696,spb,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетонные блоки размеры и цены,,672.0,spb,коммерческий,/spb/catalog,характеристики,"Webmaster, Wordstat",1,длинный,высокая,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,demand=672.0; clicks=426.0
купить газобетон в спб от производителя,,671.0,spb,коммерческий,/spb/catalog,покупка,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=671.0; clicks=675.0; demand=671.0; clicks=675.0
