Запрос,Частота (точная),Частота (базовая),Регион,Интент,Страница/группа,Кластер,Источник,Приоритет,Тип хвоста,Конкуренция,SERP-пометки,Контент/UX задачи,Статус,Комментарии
газоблок,,8622,ufa,информационный,/construction,общий спрос,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=313.0; clicks=65.0
газобетон,,5172,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетонные блоки,,1252,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько газоблок,,987,ufa,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок цена,,811,ufa,коммерческий,/ufa/catalog,цены,"Webmaster, Wordstat",1,основной,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=45.0; clicks=16.0
дом из газоблока,,775,ufa,информационный,/construction,проекты зданий,Wordstat,1,длинный,,,Сделать подборку проектов и расчеты материалов,к проработке,
газоблок уфа,,697,ufa,информационный,/construction,общий спрос,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=82.0; clicks=34.0; demand=82.0; clicks=34.0
купить газоблок,,561,ufa,коммерческий,/ufa/catalog,покупка,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=9.0; clicks=4.0
баня из газоблока,,398,ufa,информационный,/construction,проекты зданий,"Webmaster, Wordstat",1,длинный,средняя,,Сделать подборку проектов и расчеты материалов,к проработке,demand=37.0; clicks=28.0
газоблок размеры,,379,ufa,информационный,/construction,характеристики,"Webmaster, Wordstat",1,основной,средняя,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,demand=53.0; clicks=30.0
лучший газоблок,,360,ufa,информационный,/construction,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблоки какие,,358,ufa,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
куб газоблока,,356,ufa,информационный,/construction,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблоки для строительства,,283,ufa,информационный,/construction,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
нужен газоблок,,283,ufa,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок за штуку,,270,ufa,информационный,/construction,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 600х300х200,,260,ufa,информационный,/construction,общий спрос,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=12.0; clicks=5.0
газоблок уфа цены,,251,ufa,коммерческий,/ufa/catalog,общий спрос,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=15.0; clicks=8.0; demand=15.0; clicks=8.0
газоблоки стоя,,244,ufa,информационный,/construction,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько газобетона,,242,ufa,информационный,/ufa/calculator,общий спрос,Wordstat,1,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,
какой газобетон,,237,ufa,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
